"","Longitude","Latitude","References","MAT","MAP","Vegetation","RSLR","CAR","TSM","mtidalrng","mhws","DEM.Elevation","Cyclong.frequency","modeledCN","NAR"
"1",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.5086902877538,8.58172791780338
"2",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.5086902877538,8.58172791780338
"3",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.5086902877538,8.58172791780338
"4",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.5086902877538,8.58172791780338
"5",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.5086902877538,8.58172791780338
"6",-81.08,25.36,"Breithaupt et al. 2014",23.6,1269,"Mangrove",2.24,176,7.77,2.23,1.32,5.25,7.87,20.5086902877538,8.58172791780338
"7",-81.73,26.02,"Cahoon and Lyach 1997",23.4,1306,"Mangrove",2.3,328,4.3,0.94,0.71,1.77,6.58,20.5086902877538,15.9932202104518
"8",-81.74,26.03,"Cahoon and Lyach 1997",23.4,1306,"Mangrove",2.3,291,4.3,0.94,0.71,0,6.55,20.5086902877538,14.1891069550045
"9",-81.75,26.02,"Cahoon and Lyach 1997",23.4,1306,"Mangrove",2.3,191,4.3,0.94,0.71,1.76,6.54,20.5086902877538,9.31312518352526
"10",-81.73,26.02,"Cahoon and Lyach1997,1994",23.4,1306,"Mangrove",2.3,228,4.3,0.94,0.71,1.77,6.58,20.5086902877538,11.1172384389726
"11",-80.6,25,"Callaway et al 1997",24.6,1159,"Mangrove",4.2,129.6,12.66,0.54,0.37,0,7.92,20.5086902877538,6.31927237583704
"12",-80.3,25.3,"Callaway et al 1997",24.2,1344,"Mangrove",4.2,165.8,4.26,0.57,0.34,1.74,7.78,20.5086902877538,8.08437777711251
"13",-80.7,24.9,"Callaway et al 1997",24.6,1147,"Mangrove",1.9,120,7.39,0.57,0.37,4.06,8.02,20.5086902877538,5.85117812577503
"14",-80.6,25,"Callaway et al 1997",24.6,1159,"Mangrove",1.9,57.7,12.66,0.54,0.37,0,7.92,20.5086902877538,2.8134414821435
"15",-80.55,24.99,"Callaway et al 1997",24.6,1159,"Mangrove",3.9,152.2,9.16,0.57,0.37,3.07,7.9,20.5086902877538,7.42124425619133
"16",-81.7,26,"Lynch et al. 1989",23.4,1306,"Mangrove",1.7,86,4.3,0.94,0.71,2.41,6.68,20.5086902877538,4.19334432347211
